R,G,B
381,175,114
380,174,114
381,173,113
381,174,114
381,175,114
381,175,114
382,176,114
381,177,115
381,177,115
381,178,116
383,182,117
383,184,118
384,186,120
387,193,122
386,194,123
386,195,123
387,197,124
388,198,125
389,202,127
389,203,127
390,204,127
390,205,128
391,206,128
393,210,131
393,212,131
394,214,133
396,220,135
397,221,135
398,223,137
400,228,139
400,228,139
401,230,140
401,230,140
401,230,140
397,222,136
395,219,134
395,217,133
393,213,132
393,210,131
391,206,127
389,203,127
388,201,126
386,198,124
386,198,124
386,199,124
385,201,125
385,201,125
385,202,125
385,202,126
385,202,125
386,206,128
386,207,128
386,211,129
387,215,134
392,231,138
409,270,156
413,285,163
416,291,165
421,308,172
423,314,174
425,317,176
427,321,178
427,321,178
427,322,179
428,322,179
428,322,179
427,319,178
427,318,178
427,318,178
426,317,177
426,317,177
426,316,177
425,316,177
424,316,177
422,316,177
420,315,177
420,315,177
416,314,176
414,314,175
414,313,175
410,309,172
408,307,169
387,285,159
385,283,158
386,281,157
385,279,155
385,277,155
389,276,155
391,278,156
401,284,159
428,302,168
435,307,171
445,312,174
460,321,181
457,318,180
459,320,181
468,326,185
466,323,184
470,321,185
469,318,185
465,317,183
465,315,182
463,311,181
458,311,181
457,312,181
457,313,181
457,320,185
457,323,186
457,325,187
458,334,191
458,337,192
458,339,193
459,344,195
458,345,195
446,343,192
442,340,190
438,336,188
436,335,187
433,332,185
425,325,180
423,323,179
420,319,176
414,312,172
411,308,169
407,303,166
403,298,162
403,295,161
401,293,159
401,291,158
400,289,157
401,283,154
401,282,153
402,281,153
401,279,152
401,278,151
399,272,150
398,269,148
398,268,147
400,265,147
400,264,147
401,263,147
400,260,145
400,259,145
400,256,144
399,253,142
399,252,142
400,249,141
399,248,141
399,249,141
400,249,141
400,249,141
401,250,142
401,250,142
401,251,142
402,252,142
402,254,143
402,255,144
403,256,144
403,256,144
403,256,144
402,255,144
402,253,143
401,251,142
401,251,142
401,251,142
401,253,143
401,253,143
403,256,145
404,258,145
404,259,146
405,261,147
405,262,146
405,262,146
404,260,146
405,260,146
405,260,146
405,259,146
405,259,145
402,252,143
401,250,142
401,249,141
401,247,141
400,245,140
398,240,138
395,236,136
392,231,134
389,224,130
387,220,129
386,219,128
379,207,123
377,201,120
373,197,118
369,189,114
369,184,112
364,170,106
361,165,104
361,161,102
361,157,101
362,155,101
364,150,99
364,148,99
365,148,99
370,150,101
375,153,103
377,154,104
378,157,105
378,158,106
379,162,107
385,168,111
387,171,113
393,183,118
393,186,120
394,188,122
398,193,123
401,198,125
402,200,127
409,213,132
410,217,134
411,219,135
413,223,136
413,223,136
408,222,134
407,221,133
406,221,133
405,220,133
405,220,132
395,217,130
391,216,130
389,216,129
381,216,129
372,214,128
367,213,127
361,215,128
361,217,128
362,220,130
363,224,132
365,227,134
386,249,145
392,254,148
391,254,148
394,256,150
395,258,151
400,263,153
402,264,154
404,266,155
406,269,156
407,270,157
409,272,157
410,274,158
409,275,158
409,275,158
410,275,158
409,275,158
413,278,160
414,278,160
414,279,161
415,280,163
417,282,164
422,288,168
426,293,171
428,295,173
436,306,179
442,312,184
445,320,189
462,337,202
468,346,205
473,354,211
480,363,218
488,375,226
500,400,247
497,401,250
495,401,251
490,399,252
485,395,252
463,383,249
448,375,246
432,364,241
403,347,238
395,342,237
379,333,236
342,313,236
328,307,237
322,304,238
310,299,241
299,294,242
256,271,244
248,265,244
239,260,244
235,257,242
227,251,241
215,242,239
212,240,240
207,236,237
199,229,234
195,226,233
194,225,233
186,219,231
183,217,230
180,214,229
177,212,228
176,210,227
163,200,222
161,199,222
159,196,221
156,194,221
155,193,220
150,189,219
148,187,218
145,185,217
142,182,215
140,180,215
137,178,215
131,174,213
130,173,213
128,171,213
126,170,212
126,170,213
131,177,219
133,179,223
133,180,225
134,180,226
135,180,226
135,181,227
135,180,227
135,180,227
133,178,226
132,177,224
132,177,224
131,175,222
130,175,222
130,175,222
129,175,222
129,175,222
130,176,227
130,176,227
130,176,228
129,176,228
129,176,228
129,175,227
128,174,227
128,174,227
126,172,227
125,171,226
125,171,225
124,170,224
124,170,224
124,170,224
124,170,224
124,170,224
124,170,224
124,170,224
124,170,224
124,170,224
124,170,224
124,170,224
124,170,224
124,170,224
124,169,224
124,169,224
124,169,224
123,169,224
123,169,223
123,168,222
122,168,222
121,167,222
120,166,221
120,166,221
119,165,220
119,165,221
118,165,221
118,165,221
118,165,221
117,165,221
117,164,221
117,164,222
117,165,221
117,165,222
117,164,221
117,164,221
117,164,221
117,164,221
117,164,222
117,164,221
117,164,221
117,164,221
117,164,221
117,165,222
117,164,221
117,164,221
117,164,221
117,164,221
117,165,222
117,165,222
117,165,222
117,165,222
118,165,222
118,165,221
119,166,221
120,166,221
120,167,221
121,167,221
120,167,221
121,167,221
121,167,221
121,167,221
121,167,221
121,167,221
121,167,222
121,167,222
121,167,222
121,167,222
121,168,222
121,167,222
122,168,222
122,168,222
122,168,222
121,168,222
122,168,222
122,168,223
122,168,223
122,168,223
122,169,223
122,169,223
122,169,223
122,169,223
122,169,223
122,169,223
122,169,223
122,169,223
122,169,224
122,169,224
122,169,224
122,169,223
122,169,224
123,169,224
122,169,224
122,169,223
123,169,224
123,169,224
123,169,224
122,169,224
122,169,224
122,169,224
123,169,224
122,169,224
123,169,224
123,169,224
123,169,224
123,169,224
123,169,224
123,169,224
123,169,224
123,169,224
123,169,224
123,169,224
123,169,224
122,169,224
123,169,224
122,169,224
122,169,224
122,169,224
122,169,224
122,169,224
123,169,224
123,169,224
123,169,224
123,169,224
123,169,224
123,169,224
123,169,224
123,169,224
123,169,224
122,169,224
123,169,224
123,169,224
122,169,224
123,169,224
123,169,224
122,169,224
122,169,224
123,169,224
122,169,224
123,169,224
122,169,224
122,169,224
123,169,224
122,169,224
122,169,224
123,170,224
122,169,224
122,169,224
122,169,224
123,169,224
122,169,224
122,169,223
122,169,224
123,169,224
122,169,224
123,169,224
122,169,224
122,169,224
122,169,224
122,169,224
122,169,224
122,169,224
122,169,224
122,169,224
123,169,224
122,169,224
122,169,224
123,169,224
122,169,224
123,169,224
122,169,224
122,169,224
122,169,224
122,169,224
123,169,224
122,169,224
122,169,224
123,169,224
122,169,224
123,169,224
122,169,224
122,169,224
122,169,224
123,169,224
